siteCode,cityName,cityCode,cityEnName,siteName,siteEnName,countryCode,countryName,countryEnName,siteType
"ZD44845","毛里求斯","MUSPM","","西沃萨古尔·拉姆古兰爵士国际机场","/","MUS","毛里求斯","Mauritius","1"
"ZD12231","斯科普里","MKDFO","","斯科普里机场","/","MKD","马其顿","North Macedonia","1"
"ZD66458","巴马科","MLIZC","","巴马科机场","/","MLI","马里","Mali","1"
"ZD01401","兰卡威","MYS6004","Parit Buntar","兰卡威国际机场"," Langkawi International Airport","MYS","马来西亚","Malaysia","1"
"ZD95131","古晋","MYS6024","Kuching","古晋国际机场","Kuching International Airport","MYS","马来西亚","Malaysia","1"
"ZD70623","古迪亚","MLTXC","","马尔他卢加机场","/","MLT","马耳他","Malta","1"
"ZD82351","马累","MDV5767","Male","马累机场","/","MDV","马尔代夫","Maldives","1"
"ZD24281","基加利","RWATM","","基加利国际机场","/","RWA","卢旺达","Rwanda","1"
"ZD27083","卢森堡","LUXLL","","卢森堡机场","/","LUXCONUTRY","卢森堡","","1"
"ZD13881","维尔纽斯","LTUYK","","维尔纽斯机场","/","LTU","立陶宛","Lithuania","1"
"ZD85982","贝鲁特","LBNOV","","贝鲁特机场","/","LBN","黎巴嫩","Lebanon","1"
"ZD94874","里加","LVAUU","","里加机场","/","LVA","拉脱维亚","Latvia","1"
"ZD16032","库拉索","CUWCG","","库拉索哈托国际机场","/","CUW","库拉索","Curaçao","1"
"ZD16261","内罗毕","KEN9736","Nairobi","内罗毕机场","/","KEN","肯尼亚","Kenya","1"
"ZD04041","萨格勒布","HRV1","Zagreb","萨格勒布机场","","HRV","克罗地亚","Croatia","1"
"ZD53192","科威特","KWTRB","","科威特国际机场","/","KWT","科威特","Kuwait","1"
"ZD66582","多哈","QATDW","Doha","多哈国际机场","","QAT","卡塔尔","Qatar","1"
"ZD09797","杜阿拉","CMRCV","","杜阿拉机场","/","CMR","喀麦隆","Cameroon","1"
"ZD39941","维多利亚瀑布","ZWEQN","","维多利亚瀑布机场","/","ZWE","津巴布韦","Zimbabwe","1"
"ZD33895","哈拉雷","ZWEHB","","哈拉雷国际机场","/","ZWE","津巴布韦","Zimbabwe","1"
"ZD15526","布拉瓦约","ZWEQH","","布拉瓦约国际机场","/","ZWE","津巴布韦","Zimbabwe","1"
"ZD26984","布拉格","CZE1651","Prague","鲁济涅机场","/","CZE","捷克","The Czech Republic","1"
"ZD66120","利伯维尔","GABXG","","利伯维尔国际机场","/","GAB","加蓬","Gabon","1"
"ZD49658","阿克拉","GHAUC","","科托卡机场","/","GHA","加纳","Ghana","1"
"ZD90679","渥太华","CANOTT","Ottawa","渥太华麦克唐纳卡蒂埃国际机场","","CAN","加拿大","Canada","1"
"ZD11892","卡尔加里","CAN1464","Grande Prairie","卡尔加里国际机场","/","CAN","加拿大","Canada","1"
"ZD83214","多伦多","CANTOR","Toronto","多伦多机场","/","CAN","加拿大","Canada","1"
"ZD05681","比什凯克","KGZVP","","玛纳斯国际机场","/","KGZ","吉尔吉斯斯坦","Kyrgyzstan","1"
"ZD91834","特古西加尔巴","HNDTH","","特古西加尔巴机场","/","HND","洪都拉斯","Honduras","1"
"ZD27329","拉利马","HNDUK","","圣佩德罗苏拉机场","/","HND","洪都拉斯","Honduras","1"
"ZD18570","科马亚瓜","HNDCE","","科马亚瓜机场","/","HND","洪都拉斯","Honduras","1"
"ZD56069","蒂瓦特","MNENA","","蒂瓦特机场","/","MNE","黑山","Montenegro","1"
"ZD68213","阿姆斯特丹","NLDAMS","Amsterdam","阿姆斯特丹史基浦机场","","NLD","荷兰","Netherlands","1"
"ZD28797","鹿特丹","NLDRTM","Rotterdam","鹿特丹机场","","NLD","荷兰","Netherlands","1"
"ZD31058","乌拉尔斯克","KAZEV","","乌拉尔斯克机场","/","KAZ","哈萨克斯坦","Kazakhstan","1"
"ZD37135","阿克莫拉","KAZYL","","努尔苏丹·纳扎尔巴耶夫国际机场","/","KAZ","哈萨克斯坦","Kazakhstan","1"
"ZD62769","乔治敦","GUYCM","","迪贾根国际机场","/","GUY","圭亚那","Guyana","1"
"ZD14342","阿加尼亚","GUMWY","","关岛国际机场","/","GUM","关岛","Guam","1"
"ZD16443","皮特尔角城","GLPJK","","皮特尔角城国际机场","/","GLP","瓜德罗普","Guadeloupe","1"
"ZD37914","第比利斯","GEOZN","","第比利斯国际机场","/","GEO","格鲁吉亚","Georgia","1"
"ZD42387","巴统","GEOFG","","巴统机场","/","GEO","格鲁吉亚","Georgia","1"
"ZD07743","卡塔赫纳","COL9745","Cartagena","拉法埃尔·努涅斯国际机场","/","COL","哥伦比亚","Colombia","1"
"ZD58171","麦德林","COL9744","Medellin","恩里克·奥拉亚埃雷拉机场","/","COL","哥伦比亚","Colombia","1"
"ZD69153","波哥大","COLIOMB","","波哥大埃尔多拉多国际机场","/","COL","哥伦比亚","Colombia","1"
"ZD36225","卢本马希","CODVB","","卢本巴希国际机场","/","COD","刚果(金)","Democratic Republic of the Congo","1"
"ZD00797","黑角","COGPS","","黑角机场","/","COG","刚果(布)","Republic of the Congo","1"
"ZD42255","班珠尔","GMBLG","","班珠尔机场","/","GMB","冈比亚","Gambia","1"
